Firm,KL Divergence
Family Private Care LLC,24.76214008725776
Incomm,16.189600002578747
Intercontinental Registry,23.230870242407278
Cognizant,35.6594665357216
Convergys,34.91324818076605
"MSP Recovery - Fort Lauderdale, FL",32.748736575150716
"CEAACES - Quito, Provincia de Pichincha",24.230734931073393
"Ceige - Havana, IL",22.447285276164294
Quest Technologies,25.364030974275924
Prudential,23.46944559805529
Time Warner Cable,40.28531026406682
SUNTRUST BANK,29.403812333401596
ESTES-EXPRESS,38.15408828466525
ROCHE DIAGNOSTICS FOR ADECCO TECHNICAL,24.813624464256215
Caresource,27.245974996620983
Anthem,26.096540421652207
PNC Bank,22.83285202339117
Department of Housing and Urban Development,24.771010988960285
Citi Group,22.52729729073007
Citi Group,41.57260078209192
"University of Maryland, University College",27.581224503344316
"Dominion Diagnostics, LLC",23.580050594372892
Teknor Apex Company,36.47919193214727
CVS Health,27.088378006712293
CVS Health,23.48297245683863
CVS Health,24.52543841662984
Kaz USA Inc,17.758531291057142
Uber Technologies Inc,36.63295871022841
SYSCO,30.729208863060062
NFI,31.915916040898743
Booz Allen Hamilton,28.913678482833056
Huntington National Bank,33.25927586517499
Coca Cola,30.651587912519098
United Health group,24.13923303554266
Weatherford laboratories,29.081332014286957
Walmart,24.724928914092438
First Tennessee Bank,24.923357175865647
United Airlines,30.346078099574555
City of Iowa City,27.60111985778272
"ITS, University",27.60111985778272
Library IT,28.560518327738006
Office of Statewide Clinical Education Programs,17.91925440067655
Bureau of Indian Affairs,31.177991545419264
Census Bureau,31.868965149931
,43.08947165884521
,22.679981490937987
Avant Network,43.98576802569596
ITSC PLC,29.882029595989636
SEMS STUDIO PLC,21.40976728748337
FEDERAL RESERVE BANK,20.916325332606004
OMNITRACS LLC,22.13169721844553
Nationstar Mortgage LLC,34.48472055539567
United Medical Center,35.64469898239426
Winrock International,28.35225326491746
Clutch Group,42.68178029619269
"Driven, Inc",43.45670170732028
"Driven, Inc",22.680773467842776
Active-Edge-Techs,35.517872344991844
Automann,27.6980490380408
Hadassah,20.18358828699284
"Sango America, Inc",24.19584450856349
Hewlett-Packard,35.72543050068107
Sanofi Genzyme Biosurgery,34.136810606451924
Sedgwick CMS,31.440186899658855
3M Companies Inc,21.98224481370302
Department of Education:Osseo School District ISD 279,18.934205254929097
IBM,24.01380640663301
Shively Brothers Inc,34.15728184646676
"J.R. Dahn Construction, LLC",34.885728822618475
"Bell Nursery USA, LLC",27.463249313933357
"BLC Consulting, LLC",19.155235649135868
Norton Healthcare,29.470567436691333
Krogers,37.92713483884522
Miso Inc,38.7292861291418
Brightpoint Inc,24.655471503606613
ISHGLO-ONE Corporation,33.43687176937095
The Kidz Docs,41.573412360714315
Bridge IT Support Services LLC,25.151182726573907
Jittu Horticulture PLC MIDROC Technology Group,40.02778441952568
Executive Office for US Attorneys,20.339976900893305
CACI International,46.20070176943637
Column Technologies,31.281504769242975
Cigna,45.62091811994577
Labare,24.90615109568303
City of Augusta,39.344620173378196
City of Augusta,24.58983352587292
The City of Augusta Ga's Cyber & Robotics Camp,19.219273469583882
Delta Airlines,26.637584601159013
Qualcomm,29.024067724557867
Comcast,18.521690124295915
Ameriprise Financials,19.139182316665597
HPE/DXC/Perspecta,26.423474144888424
Ally Financials,33.36354267805035
University Of Michigan,22.981275998635894
CARFAX Inc,33.674906407110456
ORSCHELN FARM & HOME,29.818989117974112
Financial Services Company,36.377343907602445
HLT,26.655751403471307
Dallas Cowboys,45.23115953235607
Lucernex Technologies,27.79222666082708
Cotiviti,38.50189136711676
FIU College of education,18.104135037427646
Wing Zone,36.29553990422666
Azizi Bank,40.96154165869357
Romisoft,23.382813679025794
Scotsman Guide Media,32.868069256342466
Premera Blue Cross,18.244309346123963
Premera Blue Cross,49.50394166631554
Realty in Motion,20.73310174951698
Amdocs DVCI,19.70133708078313
Pansoft Data Solutions Pvt. Ltd,21.431050114583734
AGO GLOBAL CONSULTING,38.967918454605126
InfoView Data Solution Inc,21.00626177530676
ISHGLO - One - Corp,20.144723097631783
Wells Fargo,33.26369090319967
"Federal Mogul, Bold chat",48.118356497163944
Chrysler,61.045911360479536
Dollar General,15.19916879447447
"Miller Coors, Irvin oil",48.630816246545834
Avis Budget Car Rental,26.86392284569388
Vectren,33.71648797582854
Admiral Insurance Company,36.12793403632438
Vectren,32.25026780832574
Admiral Insurance Company,28.941163571447582
Comcast Cable,24.229280411405163
Charter Communications,37.50448088440758
Cisco Systems,55.531244570638364
Service Source Inc,33.079338185833805
GDIT,30.43237347740101
"Aureus Tech Systems, LLC",26.81841388970357
Aureus Group,29.865496738207405
